Source,Source label,Target,Target label,Edge weight
1,Kings,11,Aššur,0.478994
1,Kings,24,Enlil,0.097218
1,Kings,74,Šamaš,0.068424
1,Kings,47,Marduk,0.050395
1,Kings,2,Adad,0.047255
1,Kings,49,Nabu,0.031888
1,Kings,32,Ištar,0.026962
1,Kings,64,Sin,0.025553
1,Kings,57,Ninurta,0.019188
1,Kings,68,Uraš,0.014706
1,Kings,65,Tašmetu,0.013068
1,Kings,52,Nergal,0.012946
1,Kings,13,Bel,0.011851
1,Kings,37,Ištar_Nineveh,0.008729
1,Kings,27,Gula,0.008265
1,Kings,48,Mullissu,0.006906
1,Kings,22,Ea,0.006876
1,Kings,36,Ištar_Arbail,0.005688
1,Kings,18,Belet-parṣi,0.005044
1,Kings,26,Girra,0.004816
1,Kings,5,Anu,0.004603
1,Kings,71,Zarpanitu,0.004225
1,Kings,61,Nusku,0.004166
1,Kings,50,Nanaya,0.003543
1,Kings,17,Belet-ili,0.002898
1,Kings,59,Nisaba,0.00289
1,Kings,33,Ištar-Aššuritu,0.002809
1,Kings,45,Laṣ,0.002511
1,Kings,28,Haldi,0.002426
1,Kings,3,Amurru,0.00204
1,Kings,4,Antu,0.001935
1,Kings,63,Sebettu,0.001694
1,Kings,58,Ninšiku,0.00151
1,Kings,30,Igigi,0.001414
1,Kings,73,Šala,0.001177
1,Kings,7,Anzu,0.001055
1,Kings,69,Utulu,0.000997
1,Kings,39,Kidmuru,0.000955
1,Kings,54,Ningal,0.000912
1,Kings,76,Šarrat-nipha,0.000864
1,Kings,41,Kulla,0.00084
1,Kings,12,Bagbartu,0.000721
1,Kings,51,Nanna,0.000702
1,Kings,75,Šarrat-Kidmuri,0.000644
1,Kings,25,Erra,0.000606
1,Kings,35,Ištar-Uruk,0.000578
1,Kings,9,Atar-samayin,0.000558
1,Kings,60,Nudimmud,0.000553
1,Kings,38,Kakka,0.0005
1,Kings,10,Aya,0.000474
1,Kings,53,Ninagal,0.00047
1,Kings,70,Zababa,0.000423
1,Kings,29,Haya,0.000353
1,Kings,78,Šeruʾa,0.00031
1,Kings,66,Tiamat,0.000282
1,Kings,19,Beltiya,0.000244
1,Kings,42,Kusibanda,0.000224
1,Kings,43,Kusu,0.000201
1,Kings,44,Lamma-RA.BI,0.000199
1,Kings,56,Ninkura,0.000199
1,Kings,23,Ea-šarru,0.000191
1,Kings,77,Šarur,0.00019
1,Kings,6,Anunnaki,0.000166
1,Kings,21,Damkina,0.000161
1,Kings,14,Belet-Arbail,0.0001
1,Kings,62,Palil,7.5E-05
1,Kings,34,Ištar-Bit-Kidmuri,7.1E-05
1,Kings,40,Kippat-mati,7.1E-05
1,Kings,46,Madanu,7.1E-05
1,Kings,67,Tišpak,7.1E-05
1,Kings,16,Belet-Ninua,6.6E-05
1,Kings,8,Asalluhi,6E-05
1,Kings,20,Dagan,6E-05
1,Kings,31,Iqbi-damiq,6E-05
1,Kings,55,Ningirim,6E-05
1,Kings,15,Belet-Babili,2.5E-05
1,Kings,72,Šakkan,2.5E-05
