Queen,Deity,Co-occurrences
Ešarra-hammat,Antu,2
Ešarra-hammat,Gilgameš,2
Ešarra-hammat,Šamaš,1
Mullissu-mukannišat-Ninua,Ereškigal,2
Mullissu-mukannišat-Ninua,Šamaš,2
Naqi’a,Adad,1
Naqi’a,Asalluhi,2
Naqi’a,Aššur,4
Naqi’a,Banitu,1
Naqi’a,Bel,2
Naqi’a,Belet-Arbail,1
Naqi’a,Belet-Babili,1
Naqi’a,Belet-ili,1
Naqi’a,Belet-Ninua,1
Naqi’a,Ea,2
Naqi’a,Iqbi-damiq,1
Naqi’a,Ištar,1
Naqi’a,Ištar_Arbail,2
Naqi’a,Ištar_Nineveh,2
Naqi’a,Kusu,1
Naqi’a,Marduk,3
Naqi’a,Mullissu,2
Naqi’a,Nabu,6
Naqi’a,Nanaya,3
Naqi’a,Ningal,1
Naqi’a,Ningirim,1
Naqi’a,Ninurta,1
Naqi’a,Sin,4
Naqi’a,Šamaš,6
Naqi’a,Tašmetu,2
Sammu-ramat,Ištar,1
Tašmetu-šarrat,Aššur,1
Tašmetu-šarrat,Belet-ili,1
Tašmetu-šarrat,Ištar,1
Yaba,Anunnaki,2
Yaba,Biṭi,1
Yaba,Ereškigal,1
Yaba,Ninŋešzidak,1
Yaba,Šamaš,1
