Queen,God1,God2,God3,God4,God5,God6,God7,God8,God9,God10,God11,God12,God13,God14,God15
Sammu-ramat,Nabu,Nabu,Nudimmud,Enlil,,,,,,,,,,,
Naqi’a,Aššur,Sin,Šamaš,Nabu,Marduk,Aššur,Sin,Šamaš,Nabu,Marduk,Ištar,Ninurta,Adad,Ištar_Nineveh,Ištar_Arbail
Naqi’a,Aššur,Sin,Šamaš,Nabu,Marduk,Ištar_Nineveh,Ištar_Arbail,,,,,,,,
Naqi’a,Belet-Ninua,,,,,,,,,,,,,,
Naqi’a,Mullissu,,,,,,,,,,,,,,
Naqi’a,Belet-Babili,,,,,,,,,,,,,,
Naqi’a,Ea,Šamaš,Asalluhi,Belet-ili,Kusu,Ningirim,,,,,,,,,
Queen_of_Sin-šarru-iškun,Nabu,,,,,,,,,,,,,,
Naqi’a,Aššur,Sin,Šamaš,,,,,,,,,,,,
Ešarra-hammat,Šamaš,Antu,Gilgameš,Antu,Gilgameš,,,,,,,,,,
Naqi’a,Šamaš,Šamaš,,,,,,,,,,,,,
Naqi’a,Bel,Nabu,Nanaya,Bel,Nabu,Nabu,,,,,,,,,
Naqi’a,Nabu,Marduk,Mullissu,,,,,,,,,,,,
Naqi’a,Ea,Šamaš,Asalluhi,,,,,,,,,,,,
Naqi’a,Nabu,Marduk,,,,,,,,,,,,,
Naqi’a,Šamaš,Marduk,,,,,,,,,,,,,
Naqi’a,Nabu,Bel,Nabu,,,,,,,,,,,,
Naqi’a,Sin,Ningal,Nusku,Šamaš,Aya,Ningal,Ningal,,,,,,,,
Naqi’a,Nabu,Marduk,Tašmetu,,,,,,,,,,,,
Naqi’a,Nabu,Marduk,Tašmetu,,,,,,,,,,,,
Naqi’a,Nabu,Marduk,Nergal,Laṣ,,,,,,,,,,,
Naqi’a,Aššur,Šamaš,Marduk,,,,,,,,,,,,
Naqi’a,Šamaš,Iqbi-damiq,Šamaš,Šamaš,Šamaš,,,,,,,,,,
Naqi’a,Šamaš,Nanaya,Šamaš,Nanaya,Nanaya,,,,,,,,,,
Naqi’a,Belet-Arbail,,,,,,,,,,,,,,
Naqi’a,Banitu,,,,,,,,,,,,,,
Yabâ,Šamaš,Ereškigal,Anunnaki,Ninŋešzidak,Biṭi,Anunnaki,,,,,,,,,
Mullissu-mukanishat-Ninua ,Šamaš,Ereškigal,,,,,,,,,,,,,
Mullissu-mukanishat-Ninua ,Šamaš,Ereškigal,,,,,,,,,,,,,
Sammu-ramat,Ištar,,,,,,,,,,,,,,
Tašmetu-šarrat,Belet-ili,Ištar,Aššur,,,,,,,,,,,,
