Text,Genre,Queen,Deity1,Deity2,Deity3,Deity4,Deity5,Deity6,Deity7,Deity8,Deity9,Deity10,Deity11,Deity12,Deity13,Deity14,Deity15
Al-Rawi 2008 Text 1,Royal inscription/Funerary,Yaba,Šamaš,Ereškigal,Anunnaki,Ninŋešzidak,Biṭi,Anunnaki,,,,,,,,,
Al-Rawi 2008 Text 2,Royal inscription/Funerary,Mullissu-mukannišat-Ninua,Šamaš,Ereškigal,,,,,,,,,,,,,
Al-Rawi 2008 Text 3,Royal inscription/Funerary,Mullissu-mukannišat-Ninua,Šamaš,Ereškigal,,,,,,,,,,,,,
Galter & Levine & Reade 1986: 31-32,Royal inscription,Tašmetu-šarrat,Belet-ili,Ištar,Aššur,,,,,,,,,,,,
RINAP 4 2003,Royal inscription,Naqi’a,Aššur,Sin,Šamaš,Nabu,Marduk,Aššur,Sin,Šamaš,Nabu,Marduk,Ištar,Ninurta,Adad,Ištar_Nineveh,Ištar_Arbail
RINAP 4 2004,Royal inscription,Naqi’a,Aššur,Sin,Šamaš,Nabu,Marduk,Ištar_Nineveh,Ištar_Arbail,,,,,,,,
RINAP 4 2005,Royal inscription,Naqi’a,Belet-Ninua, ,,,,,,,,,,,,,
RINAP 4 2006,Royal inscription,Naqi’a,Mullissu,,,,,,,,,,,,,,
RINAP 4 2008,Royal inscription,Naqi’a,Belet-Babili,,,,,,,,,,,,,,
RINAP 4 2010,Royal inscription,Naqi’a,Ea,Šamaš,Asalluhi,Belet-ili,Kusu,Ningirim,,,,,,,,,
SAA 2 8,Treaty,Naqi’a,Aššur,Sin,Šamaš,,,,,,,,,,,,
SAA 4 190,Extispicy query,Naqi’a,Iqbi-damiq,,,,,,,,,,,,,,
SAA 4 191,Extispicy query,Naqi’a,Nanaya,Nanaya,Nanaya,,, ,,,,,,,,,
SAA 9 1,Prophecy,Naqi’a,Belet-Arbail,,,,,,,,,,,,,,
SAA 9 2,Prophecy,Naqi’a,Banitu,,,,,,,,,,,,,,
SAA 10 16,Scholarly letter,Naqi’a,Mullissu,,,,,,,,,,,,,,
SAA 10 154,Scholarly letter,Naqi’a,Bel,Nabu,,, ,,,,,,,,,,
SAA 10 201,Scholarly letter,Naqi’a,Ea,Šamaš,Asalluhi,, ,,,,,,,,,,
SAA 10 348,Scholarly letter,Naqi’a,Nabu,Bel,Nabu,,,,,,,,,,,,
SAA 13 76,Priestly letter,Naqi’a,Tašmetu,,,,,,,,,,,,,,
SAA 13 77,Priestly letter,Naqi’a,Tašmetu,,,,,,,,,,,,,,
SAA 13 188,Priestly letter,Naqi’a,Ningal,,,,,,,,,,,,,,
SAA 20 34,Royal ritual/Funerary,Ešarra-hammat,Šamaš,Antu,Gilgameš,Antu,Gilgameš,,,,,,,,,,
Seymour 2008: 104,Royal inscription,Sammu-ramat,Ištar,,,,,,,,,,,,,,
